"studyday","timeperiod","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
15,72,"Unwashed","Interceptor®G2",2,17,14,0,0,14,0,31
15,72,"Unwashed","Interceptor®",1,7,5,0,0,5,0,12
15,72,"Control","Control",0,8,0,2,0,0,2,10
15,72,"Unwashed","Interceptor®",1,14,5,1,0,5,1,20
15,72,"Unwashed","Interceptor®G2",2,4,2,0,0,2,0,6
16,72,"Unwashed","Interceptor®G2",2,2,1,0,0,1,0,3
16,72,"20x Washed","Interceptor®",1,12,16,0,0,16,0,28
16,72,"Control","Control",0,10,0,0,0,0,0,10
16,72,"Unwashed","Interceptor®",1,7,1,0,0,1,0,8
16,72,"Unwashed","Interceptor®",1,7,1,0,0,1,0,8
16,72,"20x Washed","Interceptor®",1,8,5,3,0,5,3,16
16,72,"Unwashed","Interceptor®G2",2,3,7,0,0,7,0,10
16,72,"Control","Control",0,6,0,4,0,0,4,10
